test_station,auc,n_test
강릉,0.967614083376864,363128
동해,0.9969941082670355,98323
양양,0.9916095398264994,182889
원주,0.9493003010533033,396182
정선,0.9931229016269529,552459
춘천,0.9158138728281888,394664
태백,0.9847686580798392,175162
홍천,0.993090053120323,328013
횡성,0.9987392474309567,343450
