pole_id,weather_hazard,spatial_exposure,facility_exposure,hist_prior,nearest_station,dry_watch_days,final_risk_base,final_risk_weather_heavy,final_risk_spatial_heavy,final_risk_facility_heavy,final_risk_no_prior,final_risk_equal,final_risk,risk_grade,fwi_score,fwi_isi,fwi_bui,accumulated_risk_norm,fwi_dry_streak,neighbor_100m,neighbor_300m,cascade_risk,terrain_fire_risk,ml_fire_prob_max,ml_score_norm,final_risk_norm,combined_risk
526562,75.38036440607621,67.4877773302369,80.54892850786587,99.67983853941871,강릉,441.0,76.73467672210607,77.26550722460054,75.2923604556407,77.64616248607702,73.91009995497987,76.99310492719556,97.97899013612115,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,11,64,12.8,71.99522705078125,0.9998777192555258,99.99870054412484,94.94942452411563,97.97899013612115
545015,75.38036440607621,67.4877773302369,80.54892850786587,99.67983853941871,강릉,441.0,76.73467672210607,77.26550722460054,75.2923604556407,77.64616248607702,73.91009995497987,76.99310492719556,97.97899013612115,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,11,64,12.8,71.99522705078125,0.9998777192555258,99.99870054412484,94.94942452411563,97.97899013612115
565420,75.38036440607621,67.23204194170616,79.71898235447976,99.67983853941871,강릉,441.0,76.45046956720033,77.04837091621717,75.01129030012466,77.2917474852592,73.61310603064757,76.66740046462051,97.71599561355958,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,11,80,16.0,71.9491064453125,0.9998983983030026,99.99899959651685,94.29148963912367,97.71599561355958
563252,75.38036440607621,66.83035038127841,79.70248178632701,99.67983853941871,강릉,441.0,76.32583695703381,76.96473249050106,74.82722898430161,77.18554939629878,73.46838884245969,76.54194282604637,97.6005866372256,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,12,80,16.0,71.8677764892578,0.9998983983030026,99.99899959651685,94.00296719828874,97.6005866372256
563308,75.38036440607621,65.0686751484871,79.9295231191694,99.67983853941871,강릉,441.0,75.85409472040702,76.65780571051128,74.079883396114,76.8245950545958,72.90856284419331,76.08155265606167,97.16313050470421,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,18,133,26.6,71.51251789093017,0.9998262634703772,99.99795638363179,92.91089168631285,97.16313050470421
563388,75.38036440607621,65.0686751484871,79.91581828046786,99.67983853941871,강릉,441.0,75.85066851073164,76.65506474277097,74.0771424283737,76.81979836105026,72.90513663451793,76.07744120445122,97.16022058918242,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,17,133,26.6,71.51251789093017,0.9998565413078162,99.99839427042633,92.90296006731657,97.16022058918242
563253,75.38036440607621,66.97905544695283,76.3996300702319,99.67983853941871,강릉,441.0,75.54473554771236,76.33390316041692,74.23357592063608,76.06672756208411,72.69472268642195,75.59569883092016,96.8775023074173,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,15,72,14.4,71.89785408020019,0.9999226506168796,99.9993503162343,92.19473029419179,96.8775023074173
565421,75.38036440607621,66.97905544695283,76.27797260617467,99.67983853941871,강릉,441.0,75.51432118169807,76.30957166760548,74.20924442782464,76.02414744966408,72.66430832040764,75.55920159170299,96.84921485993937,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,14,72,14.4,71.89785408020019,0.9999083658783758,99.99914374153254,92.12432153754962,96.84921485993937
565419,75.38036440607621,67.23455125299839,73.86676403683157,99.67983853941871,강릉,441.0,74.98816778117596,75.87842911494597,73.84197582667652,75.24409840190538,72.15092971018781,74.91248776271372,96.3619325025063,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,9,86,17.2,71.94963447570801,0.9999005550541478,99.9990307862625,90.90628507687202,96.3619325025063
563251,75.38036440607621,67.23455125299839,73.86676403683157,99.67983853941871,강릉,441.0,74.98816778117596,75.87842911494597,73.84197582667652,75.24409840190538,72.15092971018781,74.91248776271372,96.36098550939843,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,8,91,18.2,71.94963447570801,0.9997914209313622,99.99745246441604,90.90628507687202,96.36098550939843
71674,65.977297252428,65.50726961712198,87.12390053255764,98.28243856780833,춘천,449.0,74.35345391340663,73.34312651293075,73.22561960410425,76.4916156231849,71.0994384001033,75.41078407741311,95.77436130827994,Very High,2.5418022912000007,3.9591936000000008,64.2,11.073149431548838,1.0,38,287,57.400000000000006,71.59468738555908,0.9999201093086989,99.99931356604108,89.43693292163823,95.77436130827994
71703,65.977297252428,65.50726961712198,87.12266118857411,98.28243856780833,춘천,449.0,74.35314407741075,73.34287864413405,73.22537173530755,76.49118185279066,71.09912856410742,75.41041227421805,95.77407440218798,Very High,2.5418022912000007,3.9591936000000008,64.2,11.073149431548838,1.0,37,286,57.2,71.59468738555908,0.9999201093086989,99.99931356604108,89.4362156564083,95.77407440218798
542255,75.38036440607621,64.87394502644774,74.01869896262585,99.67983853941871,강릉,441.0,74.31796964465933,75.43669485479471,72.81009000988757,74.70712406929572,71.36270126234365,74.24988637248681,95.74047761980404,Very High,9.288400896000002,12.094272,76.80000000000001,62.917001215803516,20.0,20,114,22.8,71.47302673339844,0.9998019272945479,99.9976044172535,89.35478742362986,95.74047761980404
