pole_id,final_risk,risk_grade,ml_fire_prob_max,cascade_risk,terrain_fire_risk
526562,97.97899013612115,Very High,0.9998777192555258,12.8,71.99522705078125
545015,97.97899013612115,Very High,0.9998777192555258,12.8,71.99522705078125
565420,97.71599561355958,Very High,0.9998983983030026,16.0,71.9491064453125
563252,97.6005866372256,Very High,0.9998983983030026,16.0,71.8677764892578
563308,97.16313050470421,Very High,0.9998262634703772,26.6,71.51251789093017
563388,97.16022058918242,Very High,0.9998565413078162,26.6,71.51251789093017
563253,96.8775023074173,Very High,0.9999226506168796,14.4,71.89785408020019
565421,96.84921485993937,Very High,0.9999083658783758,14.4,71.89785408020019
565419,96.3619325025063,Very High,0.9999005550541478,17.2,71.94963447570801
563251,96.36098550939843,Very High,0.9997914209313622,18.2,71.94963447570801
71674,95.77436130827994,Very High,0.9999201093086989,57.400000000000006,71.59468738555908
71703,95.77407440218798,Very High,0.9999201093086989,57.2,71.59468738555908
542255,95.74047761980404,Very High,0.9998019272945479,22.8,71.47302673339844
71572,95.6444714774225,Very High,0.9999344966992988,22.6,71.99911918640137
43714,95.64251682072681,Very High,0.9999422221842285,22.200000000000003,71.99911918640137
565405,95.59092774478606,Very High,0.9998689684207066,19.8,71.54688301086426
564579,95.57809557577302,Very High,0.999929202375367,14.4,71.6285941696167
559217,95.50847721352278,Very High,0.9999292871337516,14.600000000000001,71.57566375732422
564578,95.39605416323667,Very High,0.9999061139691467,13.8,71.83918949127197
531797,95.25688584938749,Very High,0.999883139988648,21.6,71.51462039947509
559216,95.25310079467602,Very High,0.9999144489545586,14.4,71.39672107696533
564580,95.23483280546726,Very High,0.9998768375933801,14.4,71.39672107696533
559215,95.21689124216152,Very High,0.9998971083822727,14.600000000000001,71.35360237121581
564581,95.21689124216152,Very High,0.9998971083822727,14.600000000000001,71.35360237121581
559218,95.0151506726703,Very High,0.999924766695459,13.8,71.56750503540039
527459,94.64224087336592,Very High,0.9997867502835727,12.8,71.2218745803833
542410,94.63743297122991,Very High,0.9998793405839894,13.0,71.2218745803833
552608,94.58370113469189,Very High,0.9998710362872478,16.0,71.850764503479
564577,94.5505574757659,Very High,0.9998821091395187,14.8,71.72791217803955
559219,94.5382356932902,Very High,0.9998727087297349,15.200000000000001,71.72791217803955
526563,94.1113408813558,Very High,0.9998750657519253,15.8,71.89472080230713
559214,94.08687016239864,Very High,0.999897504178187,14.600000000000001,71.35180130004883
69315,94.05327969487581,Very High,0.9998997670788883,68.2,71.6130355834961
564583,94.0172608405741,Very High,0.9998955549672981,14.600000000000001,71.21720058441161
559213,94.01717755585884,Very High,0.9998859565754663,14.8,71.21720058441161
563314,93.98830481457344,Very High,0.9997577434017721,26.8,71.2685132598877
318715,93.93149945323879,Very High,0.9996301478486157,21.400000000000002,72.7764559173584
527714,93.92491905061866,Very High,0.9998797647767976,16.0,71.75339897155762
564582,93.91772855884633,Very High,0.9998963560811817,14.600000000000001,71.23801532745361
564576,93.86403123605234,Very High,0.999740132307219,16.6,71.91424327850342
559220,93.85818116601314,Very High,0.9997818213540023,16.400000000000002,71.91424327850342
563360,93.84491721193945,Very High,0.99974123867878,27.400000000000002,71.18939785003663
563373,93.83567569047483,Very High,0.9998446950798204,31.6,71.37369773864746
318567,93.8168156655869,Very High,0.999897895121241,18.6,72.5426821899414
318431,93.8117214143956,Very High,0.999897895121241,18.6,72.5426821899414
317679,93.73990829612015,Very High,0.9999068509695691,19.6,72.46029319763184
319376,93.73233615657423,Very High,0.9998801694148708,21.6,72.60771461486816
895595,93.7203270355621,Very High,0.9998766770477469,13.200000000000001,78.681982421875
896201,93.6967920002291,Very High,0.9998695187017538,13.200000000000001,78.681982421875
896199,93.50429394965695,Very High,0.9998194336291204,12.0,78.8111001586914
895597,93.50429394965695,Very High,0.9998194336291204,11.8,78.8111001586914
69511,93.47479817536627,Very High,0.9998992550667727,46.800000000000004,71.70321445465088
896196,93.4298809129303,Very High,0.9997010553465956,9.8,79.2775082397461
895600,93.41809441033772,Very High,0.9997010553465956,9.600000000000001,79.2775082397461
527456,93.37889769652804,Very High,0.9998754169203039,13.200000000000001,71.362912940979
564585,93.36894377617512,Very High,0.9998957619475476,14.200000000000001,71.23801532745361
71675,93.36828778015521,Very High,0.9999642336337524,57.400000000000006,71.5661071395874
71668,93.3681843605174,Very High,0.9999642336337524,57.0,71.5661071395874
564590,93.36759650805737,Very High,0.9998409965394092,12.8,71.362912940979
563305,93.30257269473685,Very High,0.9998373575651717,29.6,71.49794452667237
527455,93.22006144887712,Very High,0.9998245678577966,13.8,71.41337703704833
564591,93.20251895307291,Very High,0.9997955969087503,13.600000000000001,71.41337703704833
71568,93.14001103523415,Very High,0.9999480848245282,22.400000000000002,71.86507900238037
896197,93.13749338033611,Very High,0.9997120072251927,10.8,79.11032287597656
895599,93.13749338033611,Very High,0.9997120072251927,10.8,79.11032287597656
895511,93.01572748205811,Very High,0.9997647556624984,16.6,78.47377502441407
896032,93.01471969495469,Very High,0.9996486316343874,16.8,78.47377502441407
551775,92.94764351599353,Very High,0.8507772743970267,13.0,71.59173538208007
564587,92.81929800463428,Very High,0.9998991737014055,13.8,71.3450698852539
896034,92.79913168414333,Very High,0.999644603147132,15.0,78.63756195068359
895509,92.78803909395924,Very High,0.999644603147132,15.0,78.63756195068359
527715,92.75306008931132,Very High,0.9998834227571591,18.0,71.87137943267822
538863,92.73877159173998,Very High,0.9998988799952312,18.6,71.67285568237304
527716,92.71288665723219,Very High,0.9998988799952312,18.8,71.67285568237304
564586,92.71241592036318,Very High,0.9998952453957468,14.600000000000001,71.27489059448243
565435,92.67109222562064,Very High,0.9998683654628397,17.2,71.58791751861573
